vocab_id,syllabus_order,level_min,level_max,level_raw,additional_levels,hanzi,syllabus_form,sense_number,syllabus_pinyin,pinyin,pinyin_search,pinyin_numeric,syllabus_part_of_speech_zh,part_of_speech_zh,example_zh,example_review_status,curation_status,source_id,source_locator,notes
hsk26-v01706,1706,4,4,4,,酸,酸,,suān,suān,suān,,形,形,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3434,
hsk26-v01707,1707,4,4,4,,酸奶,酸奶,,suānnǎi,suānnǎi,suānnǎi,,名,名,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3435,
hsk26-v01708,1708,4,4,4,,算,算,,suàn,suàn,suàn,,动、副,动、副,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3436,
hsk26-v01709,1709,4,4,4,,随便,随便,,suíbiàn,suíbiàn,suíbiàn,,动、形、连,动、形、连,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3437,
hsk26-v01710,1710,4,4,4,,随着,随着,,suízhe,suízhe,suízhe,,介,介,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3438,
hsk26-v01711,1711,4,4,4,,孙女,孙女,,sūnnǚ,sūnnǚ,sūnnǚ,,名,名,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3439,
hsk26-v01712,1712,4,4,4,,孙子,孙子,,sūnzi,sūnzi,sūnzi,,名,名,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3440,
hsk26-v01713,1713,4,4,4（5）,5,所有,所有,,suǒyǒu,suǒyǒu,suǒyǒu,,形、（动、名）,形、（动、名）,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3441,
hsk26-v01714,1714,4,4,4（5）,5,台,台,,tái,tái,tái,,量、（名）,量、（名）,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3442,
hsk26-v01715,1715,4,4,4,,抬,抬,,tái,tái,tái,,动,动,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3443,
hsk26-v01716,1716,4,4,4,,抬头,抬头,,táitóu,táitóu,táitóu,,动,动,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3444,
hsk26-v01717,1717,4,4,4,,态度,态度,,tàidù,tàidù,tàidù,,名,名,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3445,
hsk26-v01718,1718,4,4,4,,弹,弹,,tán,tán,tán,,动,动,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3446,
hsk26-v01719,1719,4,4,4,,谈,谈,,tán,tán,tán,,动,动,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3447,
hsk26-v01720,1720,4,4,4,,汤,汤,,tāng,tāng,tāng,,名,名,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3448,
hsk26-v01721,1721,4,4,4,,躺,躺,,tǎng,tǎng,tǎng,,动,动,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3449,
hsk26-v01722,1722,4,4,4,,趟,趟,,tàng,tàng,tàng,,量,量,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3450,
hsk26-v01723,1723,4,4,4,,讨论,讨论,,tǎolùn,tǎolùn,tǎolùn,,动,动,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3451,
hsk26-v01724,1724,4,4,4,,讨厌,讨厌,,tǎoyàn,tǎoyàn,tǎoyàn,,形、动,形、动,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3452,
hsk26-v01725,1725,4,4,4,,特点,特点,,tèdiǎn,tèdiǎn,tèdiǎn,,名,名,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3453,
hsk26-v01726,1726,4,4,4,,提,提,,tí,tí,tí,,动,动,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3454,
hsk26-v01727,1727,4,4,4,,提出,提出,,tíchū,tíchū,tíchū,,动,动,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3455,
hsk26-v01728,1728,4,4,4,,提到,提到,,tídào,tídào,tídào,,动,动,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3456,
hsk26-v01729,1729,4,4,4,,提供,提供,,tígōng,tígōng,tígōng,,动,动,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3457,
hsk26-v01730,1730,4,4,4,,提前,提前,,tíqián,tíqián,tíqián,,动,动,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3458,
hsk26-v01731,1731,4,4,4,,提醒,提醒,,tíxǐng,tíxǐng,tíxǐng,,动,动,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3459,
hsk26-v01732,1732,4,4,4,,体检,体检,,tǐjiǎn,tǐjiǎn,tǐjiǎn,,动,动,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3460,
hsk26-v01733,1733,4,4,4,,体温,体温,,tǐwēn,tǐwēn,tǐwēn,,名,名,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3461,
hsk26-v01734,1734,4,4,4,,体重,体重,,tǐzhòng,tǐzhòng,tǐzhòng,,名,名,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3462,
hsk26-v01735,1735,4,4,4,,填写,填写,,tiánxiě,tiánxiě,tiánxiě,,动,动,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3463,
hsk26-v01736,1736,4,4,4,,条件,条件,,tiáojiàn,tiáojiàn,tiáojiàn,,名,名,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3464,
hsk26-v01737,1737,4,4,4,,听力,听力,,tīnglì,tīnglì,tīnglì,,名,名,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3465,
hsk26-v01738,1738,4,4,4,,听众,听众,,tīngzhòng,tīngzhòng,tīngzhòng,,名,名,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3466,
hsk26-v01739,1739,4,4,4,,停,停,,tíng,tíng,tíng,,动,动,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3467,
hsk26-v01740,1740,4,4,4,,停车,停车,,tíngchē,tíngchē,tíngchē,,动,动,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3468,
hsk26-v01741,1741,4,4,4,,停车场,停车场,,tíngchēchǎng,tíngchēchǎng,tíngchēchǎng,,名,名,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3469,
hsk26-v01742,1742,4,4,4,,停止,停止,,tíngzhǐ,tíngzhǐ,tíngzhǐ,,动,动,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3470,
hsk26-v01743,1743,4,4,4（7-9）,7-9,通,通,,tōng,tōng,tōng,,动、形、（量）,动、形、（量）,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3471,
hsk26-v01744,1744,4,4,4,,通过,通过,,tōngguò,tōngguò,tōngguò,,动、介,动、介,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3472,
hsk26-v01745,1745,4,4,4,,通知,通知,,tōngzhī,tōngzhī,tōngzhī,,动、名,动、名,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3473,
hsk26-v01746,1746,4,4,4,,童年,童年,,tóngnián,tóngnián,tóngnián,,名,名,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3474,
hsk26-v01747,1747,4,4,4,,同时,同时,,tóngshí,tóngshí,tóngshí,,名、连,名、连,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3475,
hsk26-v01748,1748,4,4,4,,同样,同样,,tóngyàng,tóngyàng,tóngyàng,,形,形,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3476,
hsk26-v01749,1749,4,4,4,,桶,桶,,tǒng,tǒng,tǒng,,名,名,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3477,
hsk26-v01750,1750,4,4,4（7-9）,7-9,痛,痛,,tòng,tòng,tòng,,形、（副）,形、（副）,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3478,
hsk26-v01751,1751,4,4,4,,头痛,头痛,,tóutòng,tóutòng,tóutòng,,形,形,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3479,
hsk26-v01752,1752,4,4,4（7-9）,7-9,图,图,,tú,tú,tú,,名、（动）,名、（动）,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3480,
hsk26-v01753,1753,4,4,4,,图片,图片,,túpiàn,túpiàn,túpiàn,,名,名,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3481,
hsk26-v01754,1754,4,4,4（6）,6,土,土,,tǔ,tǔ,tǔ,,名、（形）,名、（形）,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3482,
hsk26-v01755,1755,4,4,4,,推,推,,tuī,tuī,tuī,,动,动,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3483,
hsk26-v01756,1756,4,4,4,,推迟,推迟,,tuīchí,tuīchí,tuīchí,,动,动,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3484,
