grammar_lesson_id,grammar_element_id,relation_role,relation_order,review_status,notes
glesson_d7cad090d9554245a5dbed09caa87826,gelement_53b2e31ee82e45f0a51fa55ca9149554,primary,12,approved,
glesson_d7cad090d9554245a5dbed09caa87826,gelement_3110f36b6db64b4793adad99f1b5fe09,primary,13,approved,
glesson_d7cad090d9554245a5dbed09caa87826,gelement_102e52ec717e4c9b8d53fb91499f6028,primary,14,approved,
glesson_d7cad090d9554245a5dbed09caa87826,gelement_81fc184517c148ffa339ab5a27d6e8c0,primary,15,approved,
glesson_92993e435fd2485884e66731507a89a7,gelement_16ca3743bd1b4fdaace118a1c4ddf435,primary,1,approved,
glesson_92993e435fd2485884e66731507a89a7,gelement_e48385f7ba384459830b1584718c1f69,primary,2,approved,
glesson_92993e435fd2485884e66731507a89a7,gelement_1f8936dea6b644d6bf23abe173f744bf,primary,3,approved,
glesson_92993e435fd2485884e66731507a89a7,gelement_c95ad02a7d2f44c280e582a561e6b1a5,primary,4,approved,
glesson_92993e435fd2485884e66731507a89a7,gelement_b10be416b307433a87390843e5a92c18,primary,5,approved,
glesson_92993e435fd2485884e66731507a89a7,gelement_cf3258c0e7a34024a506ca7651c7f4b1,primary,6,approved,
glesson_92993e435fd2485884e66731507a89a7,gelement_d265a71d2bed49f481e63209583ad339,primary,7,approved,
glesson_92993e435fd2485884e66731507a89a7,gelement_f7ca75c0698545cf9117bfa3e5388814,primary,8,approved,
glesson_ffcb8ee873944afc831b07219d8b60c4,gelement_cbf9606281d3493b8bbad441e6946592,primary,1,approved,
glesson_366fff0d896542d0921adc449244e8df,gelement_769a7798ae1a484f86bf20e35522ae8d,primary,1,approved,
glesson_366fff0d896542d0921adc449244e8df,gelement_4ce8818bebbb46da991cae247bdc37b9,primary,2,approved,
glesson_366fff0d896542d0921adc449244e8df,gelement_bce42ed3a863431e8ce38011cb40b803,primary,3,approved,
glesson_366fff0d896542d0921adc449244e8df,gelement_54383d00c9e040a18b0a8cc42d8f94ad,primary,4,approved,
