vocab_id,level,hanzi,sense_number,product_active,published_surface_count,published_explicit_count,approved_surface_count,approved_explicit_count,published_surface_target_met,published_explicit_target_met,approved_surface_target_met,approved_explicit_target_met,curation_status
hsk26-v00123,1,妹妹,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00124,1,们,,True,31,31,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00125,1,米饭,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00126,1,面包,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00127,1,面条儿,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00128,1,明年,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00129,1,明天,,True,7,7,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00130,1,名字,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00131,1,哪,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00132,1,哪个,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00133,1,哪里,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00134,1,哪儿,,True,5,5,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00135,1,哪些,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00136,1,那,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00137,1,那边,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00138,1,那个,,True,5,5,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00139,1,那里,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00140,1,那儿,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00141,1,那些,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00142,1,男,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00143,1,男朋友,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00144,1,呢,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00145,1,能,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00146,1,你,,True,81,81,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00147,1,你好,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00148,1,你们,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00149,1,年,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00150,1,您,,True,5,5,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00151,1,牛奶,,True,6,6,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00152,1,女,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00153,1,女儿,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00154,1,女朋友,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00155,1,女士,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00156,1,朋友,,True,5,5,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00157,1,便宜,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00158,1,漂亮,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00159,1,苹果,,True,9,9,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00160,1,七,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00161,1,起床,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00162,1,千,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00163,1,前,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00164,1,钱,,True,5,5,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00165,1,请,,True,8,8,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00166,1,请问,,True,6,6,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00167,1,去,,True,14,14,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00168,1,去年,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00169,1,热,,True,5,5,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00170,1,人,,True,11,11,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00171,1,认识,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00172,1,日,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00173,1,三,,True,11,11,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00174,1,商店,,True,7,7,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00175,1,上,,True,5,5,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00176,1,上班,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00177,1,上课,,True,7,7,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00178,1,上午,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00179,1,上学,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00180,1,少,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00181,1,谁,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00182,1,什么,,True,5,5,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00183,1,生病,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00184,1,十,,True,12,12,0,0,True,True,False,False,legacy_unreviewed
