runtime_order,deck_order,card_id,sentence_id,active,direction,deck_id,deck_name,response_style,tags
1607,789,scard_fc2318ddf10f43638775aa50f776e116,sent_c325e6f898b148969c4db49cff399b8e,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1608,790,scard_2535dcbb053c44f0bf6cd86ae7f88bda,sent_0f70d040d82040359d8d99925425f9ee,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1609,791,scard_e957bf9f5bd746fb905a512084db7389,sent_5e35536c486142cf9ba103063d0be4d5,false,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1610,792,scard_09a21e8410964b0cb501cb812511fce2,sent_2e78c7dfe96b4b1cae2ab71f42d0d2a2,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1611,793,scard_4d603e5b8d264b1bb6f2e79f541cf891,sent_87701b1c388b46b2a7ccb3363e065bdc,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1612,794,scard_30fab2d4f751413e9febd11d5c89ec05,sent_48a159db3acf4c709a93d533fd60a55a,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1613,795,scard_04a85488bf7641e09d0c698fbd22a14d,sent_340f8025a1a74d868daaac1bae0ab90f,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1614,796,scard_8673e722d5ac4a8a827d3c5e4a934718,sent_55d1c47d62564f80bb1d91b475d49f86,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1615,797,scard_2f6f4031b9e8456eaf006df2ff6db024,sent_34ce37ac77f8406890686e8b6db56b80,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1616,798,scard_7e860344ea524aa680569709cffc5be7,sent_b2aaacfdedcd472eb824579b3d8c0f32,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1617,799,scard_586959e87a6e4120bdf575ff1d2e3dce,sent_e49f97cf0b4446de8fac121520941778,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1618,800,scard_2fd5c64d68a044389691826e62b9fe1e,sent_c60fb950374f4c99bd20c7a9663d16cf,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1619,801,scard_17bb341ed3a341d79f551316634fc338,sent_11aa2f4156e34c2b9edc0c940259776b,false,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1620,802,scard_0a0002f6dd39486dbc4aa5cf36c1919a,sent_274e58286bc64da2afd085f5d7de11d3,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1621,803,scard_32a9c3e803ae4eb18faaea2bcad12878,sent_4fced110a03c42a2a338bdd9bb46a54f,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1622,804,scard_3169fd81863c453c928bc7cd4de5ae24,sent_0876713b00d44bb1b72484c822a9ea0e,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1623,805,scard_1957092bd33d4a60bf080c8a3627adae,sent_184cc9fa67c64c3290d9f28e4d14519f,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1624,806,scard_d011e0f83e52482289a1d6fb14de40de,sent_3fa85ee38db3439a9fcf10728ec660a2,false,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1625,807,scard_4cb21cbd98ff46c88f7e32c7f3fd4b33,sent_381338e8d5924fdf8ce38bc77993f29a,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1626,808,scard_4b02eeedc3194490ab00803b743ec356,sent_8e0cb499fccb465d905c01286510ef03,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1627,809,scard_e08581e7ecf34e0f84283b4098c778e9,sent_b8e10463fe414a1b86294537f5dbcc10,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1628,810,scard_bc753e3f95bc437da7ba2b24aeb625aa,sent_be44d99b8a2e4416b62ca4aa6ca9c57b,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1629,811,scard_e398a01f0d9843f2b61b05d9ca54788c,sent_51100339d7d94b05b2864efb99166637,false,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1630,812,scard_e588791221e24ffcb77bf176db58c473,sent_cce8178925804c16823b3168785526ba,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1631,813,scard_56848e2ae0d345e8882b52d1b912a946,sent_d6758fb08e4d493ba5bce57b6ffbb705,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1632,814,scard_d65786d447694079a0c151c1e92d75dc,sent_dc42070b565a4d5f882d9bddcb4c2451,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1633,815,scard_d5bca248195a4f2c884c493c6538c3df,sent_8580b267ee1a49a3b14e5c189457b5c9,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1634,816,scard_66f0ccf3848d4e7d92c0307ebc89e697,sent_2dbb34592a5747968aae495e9a1519cb,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1635,817,scard_24f96faf68324d49874e36566a033bea,sent_8a0581510048473982b057cd25da605c,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1636,818,scard_1261f93239bb4eb6a3083dc72231e052,sent_be173fbed9d8416fb4d3bc08b1579f5e,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1637,819,scard_db48771afef745c387cf2717de89a5c9,sent_2039a37cfc5c46bb8728fe1b21f36f8b,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1638,820,scard_18737546a4734a379bf966c1a383d8e7,sent_9acdad6e759a422586d67d798f5ee440,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1639,821,scard_5519a221a30040a9b8db99d47ec040ca,sent_a9361954b50743649333c545d2fe27bb,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1640,822,scard_dabc6267aa634db4b859704ad445058f,sent_7b257dde2f034b4f960584611229644f,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1641,823,scard_11c1fd227558416bae7802a0f1261df1,sent_e1cbeb9cd8ef4db0b61f7d1c3521f92f,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1642,824,scard_15f03662b6344c968089bc8035605f95,sent_3b410efeef694a479a17d3a4b66e7fe2,false,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1643,825,scard_e4a8f73f97a643fdbffefc9f33ead7e2,sent_e5702fbd26794323a33ab59bc4a8ab92,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1644,826,scard_70213e967cc14679af013a421241ee63,sent_de63c4804cdc4f0d90497869ad9e4b3c,false,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1645,827,scard_b81e2ae3d53a4d4fb1eae78fbe1f33d2,sent_77e1a8afbdfd4e61b4652e1eef804d43,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1646,828,scard_633236f20c294fc895abae036e7afd4f,sent_929181a183e7401e9867d1bcc7175461,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1647,829,scard_08c225f168e745979153c7dafc62aeff,sent_4911377669b842638cc5a904773faa70,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1648,830,scard_c7430f96236a48089ce161ed707a91d0,sent_30813397ab03449d9ff46db324e2736a,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1649,831,scard_fb4744f7461248eab03b0102270b7f9e,sent_c6db7da00adf462ea4f34df74104a4fb,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1650,832,scard_88375dbb326549bda66823e63fe20234,sent_792a011aaf014c0faca482ba73c8d707,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1651,833,scard_9410f67738114fe48838274d5d2a528a,sent_9c837411562e4116ad0a6ad6ccaab2b2,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1652,834,scard_b2da7941b1d340a2aedfbd140c9edbc1,sent_ee41c77de7344293bc2524863ccdfad3,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1653,835,scard_9000ed6c4bce48ac8d3c873a88046d13,sent_d0caf825e46c4a13ba63db3cf8f00767,false,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1654,836,scard_5cc583225273447ca4d1a1f5ef5f3644,sent_5f55f5eb95894ab6b25ef611cb99928e,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1655,837,scard_6e40393d978f4f5ea8e3f43cc3978b90,sent_b5cce1ea7f294f5fb44fe4650db83a5a,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
